,STATION,NAME,DATE,PRCP
162,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1998-07-01,0.97
163,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1998-08-01,1.85
164,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1998-09-01,1.68
165,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1998-10-01,1.92
166,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1998-11-01,1.13
167,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1998-12-01,0.93
168,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1999-01-01,8.06
169,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1999-02-01,2.85
170,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1999-03-01,3.66
171,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1999-04-01,1.96
172,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1999-05-01,3.55
173,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1999-06-01,0.96
174,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1999-07-01,1.03
175,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1999-08-01,3.59
176,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1999-09-01,6.74
177,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1999-10-01,3.27
178,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1999-11-01,2.15
179,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1999-12-01,2.33
180,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2000-01-01,2.46
181,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2000-02-01,1.96
182,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2000-03-01,4.14
183,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2000-04-01,4.01
184,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2000-05-01,4.02
185,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2000-06-01,3.71
186,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2000-07-01,5.51
187,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2000-08-01,3.4
188,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2000-09-01,4.26
189,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2000-10-01,0.44
190,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2000-11-01,4.3
191,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2000-12-01,2.85
192,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2001-01-01,2.9
193,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2001-02-01,1.73
