,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
172,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1999-05-01,2.13
173,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1999-06-01,4.02
174,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1999-07-01,3.98
175,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1999-08-01,5.4
176,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1999-09-01,1.73
177,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1999-10-01,0.09
178,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1999-11-01,0.17
179,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1999-12-01,0.18
180,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2000-01-01,0.29
181,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2000-02-01,0.77
182,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2000-03-01,4.25
183,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2000-04-01,1.84
184,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2000-05-01,2.76
185,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2000-06-01,1.31
186,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2000-07-01,6.18
187,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2000-08-01,0.27
188,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2000-09-01,0.69
189,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2000-10-01,1.893497942386833
190,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2000-11-01,1.35
191,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2000-12-01,0.15
192,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2001-01-01,1.15
193,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2001-02-01,1.61
194,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2001-03-01,1.22
195,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2001-04-01,1.42
196,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2001-05-01,6.72
197,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2001-06-01,3.25
198,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2001-07-01,4.72
199,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2001-08-01,1.84
200,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2001-09-01,5.45
201,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2001-10-01,1.18
202,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2001-11-01,0.5
203,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2001-12-01,0.04
204,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2002-01-01,0.52
205,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2002-02-01,0.31
206,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2002-03-01,0.39
