STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1980-03,,0.31,0,67.5
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1980-04,,0.34,0,69.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1980-05,,2.82,0,77.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1980-06,,0.03,0,83.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1980-07,,1.47,0,85.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1980-08,,14.79,0,83.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1980-09,,6.01,0,82.4
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1980-10,,1.18,0,71.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1980-11,,3.16,0,59.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1980-12,,0.33,0,57.6
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1981-01,,2.56,0,55.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1981-02,,1.92,0,58.4
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1981-03,,2.37,0,63.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1981-04,,0.98,0,74.4
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1981-05,,8.64,0,76.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1981-06,,3.02,0,82.5
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1981-07,,5.98,0,83.4
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1981-08,,5.79,0,83.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1981-09,,0.5,0,80.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1981-10,,11.02,0,75.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1981-11,,0.12,0,68.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1981-12,,1.15,0,59.4
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1982-01,,0.07,0,57.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1982-02,,8.11,0,55.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1982-03,,0.46,0,66.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1982-04,,1.01,0,71.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1982-05,,4.17,0,76.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1982-06,,0.72,0,82.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1982-07,,0.01,0,84.5
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1982-08,,0.64,0,84.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1982-09,,0.56,0,82.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1982-10,,1.7,0,73.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1982-11,,4.33,0,64.5
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1982-12,,0.7,0,58.4
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1983-01,,0.76,0,55.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1983-02,,3.28,0,57.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1983-03,,3.03,0,63.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1983-04,,0,0,69
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1983-05,,2.77,0,76
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1983-06,,2.5,0,81.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1983-07,,8.78,0,83
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1983-08,,2.68,0,84.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1983-09,,7.04,0,79.4
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1983-10,,3.99,0,74.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1983-11,,1.54,0,67.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1983-12,,0.58,0,49.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1984-01,10.7,5.91,0,51.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1984-02,13.9,0.39,0,59.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1984-03,15,0.19,0,66.4
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1984-04,13.6,0,0,73.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1984-05,12.5,2.22,0,77.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1984-06,12.8,0.23,0,81.6
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1984-07,11.4,0.25,0,83.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1984-08,11.4,0.9,0,83.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1984-09,12.5,3.04,0,78.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1984-10,11.9,6.49,0,76.5
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1984-11,12.1,1.71,0,64.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1984-12,14.3,0.93,0,66.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1985-01,13.2,2.68,0,49.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1985-02,13.9,2.86,0,54
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1985-03,14.8,1.82,0,67.6
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1985-04,13.4,3.54,0,72.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1985-05,11.6,2.87,0,77.6
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1985-06,11.2,3.99,0,80.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1985-07,10.3,1.04,0,81.9
